country,region,total_cases,total_cases_per_million,last_week_cases,last_day_cases,total_deaths,total_deaths_per_million,last_week_deaths,last_day_deaths,transmission_class,gdp_2014_billionsusd,code
Mozambique,Africa,44912,1436.93,5452,312,465,14.88,79,5,Community transmission,16.59,MOZ
Uganda,Africa,39860,871.43,254,12,327,7.15,2,0,Community transmission,26.09,UGA
Namibia,Africa,35070,13802.17,902,96,375,147.59,22,0,Community transmission,13.11,NAM
Zimbabwe,Africa,34658,2331.84,1110,106,1339,90.09,105,13,Community transmission,13.74,ZWE
Cuba,Americas,33484,2956.22,5892,653,240,21.19,24,2,Community transmission,77.15,CUB
Cyprus,Europe,31864,26391.49,868,105,214,177.25,12,2,Clusters of cases,21.34,CYP
Cameroon,Africa,31394,1182.63,1081,1081,474,17.86,0,0,Community transmission,32.16,CMR
Sudan,Eastern Mediterranean,29851,680.76,315,86,1835,41.85,6,0,Community transmission,70.03,SDN
Senegal,Africa,29057,1735.38,2130,297,689,41.15,51,7,Community transmission,15.88,SEN
Australia,Western Pacific,28857,1131.65,39,7,909,35.65,0,0,Sporadic cases,1483.0,AUS
Malawi,Africa,27422,1433.46,3057,227,874,45.69,162,18,Community transmission,4.41,MWI
Botswana,Africa,24435,10390.68,3142,932,179,76.12,45,16,Community transmission,16.3,BWA
Thailand,South-East Asia,23746,340.2,3292,189,79,1.13,0,0,Clusters of cases,373.8,THA
"Congo, Democratic Republic of the",Africa,23670,264.29,829,72,681,7.6,8,0,Community transmission,32.67,COD
Angola,Africa,20112,611.93,283,26,475,14.45,9,0,Community transmission,131.4,AGO
Madagascar,Africa,19360,699.14,295,295,285,10.29,4,4,Community transmission,11.19,MDG
Malta,Europe,19015,43064.89,847,202,284,643.2,14,2,Clusters of cases,10.57,MLT
French Polynesia,Western Pacific,18206,64811.25,105,21,135,480.58,3,2,Sporadic cases,7.15,PYF
Jamaica,Americas,17298,5841.62,1520,213,358,120.9,6,0,Community transmission,13.92,JAM
Maldives,South-East Asia,16909,31281.45,853,126,55,101.75,3,0,Clusters of cases,2.41,MDV
Mauritania,Africa,16777,3608.22,317,0,425,91.4,7,0,Community transmission,4.29,MRT
Rwanda,Africa,16621,1283.26,1162,170,223,17.22,25,3,Community transmission,8.0,RWA
Swaziland,Africa,16234,13992.85,430,30,607,523.2,33,3,Community transmission,3.84,SWZ
Guinea,Africa,14743,1122.61,197,56,84,6.4,2,0,Community transmission,6.77,GIN
Syria,Eastern Mediterranean,14551,831.45,455,74,958,54.74,32,6,Community transmission,64.7,SYR
Cabo Verde,Africa,14451,25991.61,353,71,136,244.61,2,1,Community transmission,1.98,CPV
Tajikistan,Europe,13714,1437.88,0,0,91,9.54,0,0,Pending,9.16,TJK
Belize,Americas,12037,30272.01,129,0,306,769.56,5,0,Community transmission,1.67,BLZ
Haiti,Americas,11908,1044.33,318,102,246,21.57,1,0,Community transmission,8.92,HTI
Gabon,Africa,11836,5317.8,884,379,71,31.9,3,0,Community transmission,20.68,GAB
Burkina Faso,Africa,11309,541.02,541,24,134,6.41,13,0,Community transmission,13.38,BFA
Andorra,Europe,10275,132983.89,303,24,106,1371.9,5,0,Community transmission,4.8,AND
Lesotho,Africa,9380,4378.58,480,0,183,85.42,11,0,Community transmission,2.46,LSO
Suriname,Americas,8671,14780.99,233,21,161,274.45,7,1,Community transmission,5.27,SUR
Mali,Africa,8181,403.98,81,5,339,16.74,9,1,Community transmission,12.04,MLI
"Congo, Republic of the",Africa,8060,1460.65,173,0,122,22.11,5,0,Community transmission,14.11,COG
Guyana,Americas,7982,10148.09,341,43,180,228.85,4,0,Clusters of cases,3.14,GUY
Trinidad and Tobago,Americas,7616,5441.99,52,0,135,96.46,1,0,Community transmission,29.63,TTO
Guam,Western Pacific,7457,44183.08,56,15,130,770.26,1,0,Clusters of cases,4.6,GUM
Aruba,Americas,7223,67652.62,257,89,62,580.71,3,1,Community transmission,2.52,ABW
Iceland,Europe,6020,17641.39,11,0,29,84.98,0,0,Community transmission,16.2,ISL
Djibouti,Eastern Mediterranean,5950,6022.27,17,3,63,63.77,0,0,Clusters of cases,1.58,DJI
Equatorial Guinea,Africa,5614,4001.47,80,36,87,62.01,1,1,Community transmission,15.4,GNQ
Togo,Africa,5496,663.87,404,13,80,9.66,1,0,Community transmission,4.84,TGO
Nicaragua,Americas,5027,758.84,35,0,170,25.66,1,0,Community transmission,11.85,NIC
Central African Republic,Africa,4989,1032.97,0,0,63,13.04,0,0,Community transmission,1.73,CAF
Somalia,Eastern Mediterranean,4862,305.92,78,0,134,8.43,4,0,Community transmission,2.37,SOM
Niger,Africa,4621,190.9,84,9,166,6.86,5,1,Community transmission,8.29,NER
Curacao,Americas,4613,28112.11,28,16,21,127.98,0,0,Community transmission,5.6,CUW
South Sudan,Africa,4609,411.75,572,254,65,5.81,1,0,Community transmission,11.89,SSD
"Gambia, The",Africa,4302,1780.14,163,65,135,55.86,4,1,Community transmission,0.92,GMB
Benin,Africa,4193,345.87,300,0,55,4.54,3,0,Community transmission,9.24,BEN
Gibraltar,Europe,4182,124128.11,68,5,83,2463.57,6,3,Clusters of cases,1.85,GIB
Sierra Leone,Africa,3789,474.99,155,4,79,9.9,0,0,Community transmission,5.41,SLE
Chad,Africa,3508,213.57,123,11,125,7.61,4,0,Community transmission,15.84,TCD
Jersey,Europe,3176,29191.18,24,2,67,615.81,1,0,Community transmission,5.77,JEY
Comoros,Africa,3153,3625.8,342,65,115,132.24,17,3,Community transmission,0.72,COM
San Marino,Europe,3137,92433.26,71,0,69,2033.12,2,0,Community transmission,1.86,SMR
Guinea-Bissau,Africa,2780,1412.6,145,0,46,23.37,1,0,Community transmission,1.04,GNB
Liechtenstein,Europe,2598,68122.82,19,0,46,1206.18,0,0,Sporadic cases,5.11,LIE
Eritrea,Africa,2326,655.87,191,0,7,1.97,0,0,Community transmission,3.87,ERI
Yemen,Eastern Mediterranean,2134,71.55,8,3,616,20.65,0,0,Community transmission,45.45,YEM
Mongolia,Western Pacific,2073,632.34,259,50,2,0.61,0,0,Clusters of cases,11.73,MNG
Saint Lucia,Americas,2027,11038.68,616,214,19,103.47,4,1,Sporadic cases,1.35,LCA
New Zealand,Western Pacific,1966,407.69,17,2,25,5.18,0,0,Clusters of cases,201.0,NZL
Liberia,Africa,1956,386.74,12,0,84,16.61,0,0,Community transmission,2.07,LBR
Sint Maarten,Americas,1936,45147.15,74,25,27,629.63,0,0,Community transmission,304.1,SXM
Burundi,Africa,1730,145.49,89,2,3,0.25,1,0,Community transmission,3.04,BDI
Barbados,Americas,1709,5946.93,164,33,18,62.64,4,0,Community transmission,4.28,BRB
Monaco,Europe,1665,42426.87,166,10,20,509.63,6,0,Sporadic cases,6.06,MCO
Seychelles,Africa,1575,16014.72,370,62,7,71.18,3,0,Community transmission,1.47,SYC
Saint Martin,Americas,1377,35619.13,88,88,12,310.41,0,0,Community transmission,0.56,MAF
Sao Tome and Principe,Africa,1355,6182.73,96,16,22,100.38,5,4,Community transmission,0.36,STP
Saint Vincent and the Grenadines,Americas,1283,11564.81,332,14,4,36.06,2,0,Clusters of cases,0.75,VCT
Papua New Guinea,Western Pacific,900,100.59,33,5,9,1.01,0,0,Community transmission,16.1,PNG
Bhutan,South-East Asia,861,1115.85,2,0,1,1.3,0,0,Clusters of cases,2.09,BTN
Guernsey,Europe,720,11393.13,181,9,13,205.71,0,0,Community transmission,2.74,GGY
Bermuda,Americas,692,11112.36,1,0,12,192.7,0,0,Sporadic cases,5.2,BMU
Faroe Islands,Europe,656,13424.74,2,0,1,20.46,0,0,Sporadic cases,2.32,FRO
Mauritius,Africa,584,459.2,16,0,10,7.86,0,0,Clusters of cases,12.72,MUS
Tanzania,Africa,509,8.52,0,0,21,0.35,0,0,Pending,36.62,TZA
Cambodia,Western Pacific,476,28.47,10,2,0,0.0,0,0,Sporadic cases,16.9,KHM
Isle of Man,Europe,434,5103.96,0,0,25,294.01,0,0,No cases,4.08,IMN
Cayman Islands,Americas,405,6162.51,15,0,2,30.43,0,0,Sporadic cases,2.25,CYM
Antigua and Barbuda,Americas,316,3226.83,82,17,7,71.48,0,0,Sporadic cases,1.24,ATG
Grenada,Americas,148,1315.29,0,0,1,8.89,0,0,Sporadic cases,0.84,GRD
British Virgin Islands,Americas,141,4663.16,0,0,1,33.07,0,0,Clusters of cases,1.1,VGB
Dominica,Americas,121,1680.77,4,0,0,0.0,0,0,Clusters of cases,0.51,DMA
Timor-Leste,South-East Asia,86,65.23,11,6,0,0.0,0,0,Sporadic cases,4.51,TLS
Fiji,Western Pacific,56,62.47,1,0,2,2.23,0,0,Sporadic cases,4.17,FJI
New Caledonia,Western Pacific,50,175.13,3,1,0,0.0,0,0,Sporadic cases,11.1,NCL
Laos,Western Pacific,45,6.19,1,0,0,0.0,0,0,Sporadic cases,11.71,LAO
